0,Word,ContFunc,Syllable,Morpho,FromSnd,SemanTr,Freq
121,ทรง,CF,1,เดี่ยว,2,0,3939
122,ครั้ง,C,1,เดี่ยว,1,0,3928
123,ใด,F,1,เดี่ยว,1,0,3837
124,พวก,C,1,เดี่ยว,2,0,3811
125,ใหญ่,C,1,เดี่ยว,2,0,3792
126,ขอ,C,1,เดี่ยว,1,0,3785
127,แสดง,C,2,เดี่ยว,2,0,3749
128,หลาย,C,1,เดี่ยว,1,0,3683
129,ต่างๆ,C,2,ซ้ำ,1,1,3608
130,สี,C,1,เดี่ยว,1,0,3585
131,ถูก,CF,1,เดี่ยว,1,0,3563
132,ก่อน,C,1,เดี่ยว,1,0,3538
133,กำลัง,CF,2,เดี่ยว,1,0,3512
134,สิ่ง,C,1,เดี่ยว,1,0,3510
135,หนังสือ,C,2,เดี่ยว,1,0,3495
136,พา,C,1,เดี่ยว,1,0,3492
137,เขียน,C,1,เดี่ยว,1,0,3491
138,ส่วน,C,1,เดี่ยว,1,0,3472
139,เล่า,CF,1,เดี่ยว,1,0,3401
140,ต่อ,CF,1,เดี่ยว,1,0,3390
141,อื่น,C,1,เดี่ยว,1,0,3380
142,ตน,C,1,เดี่ยว,1,0,3357
143,นั่ง,C,1,เดี่ยว,1,0,3349
144,บน,CF,1,เดี่ยว,1,0,3344
145,นี่,C,1,เดี่ยว,1,0,3341
146,เอง,C,1,เดี่ยว,2,0,3245
147,กล่าว,C,1,เดี่ยว,2,0,3242
148,อาหาร,C,2,เดี่ยว,1,0,3241
149,รู้สึก,C,2,เดี่ยว,1,0,3236
150,รัก,C,1,เดี่ยว,1,0,3232
151,นก,C,1,เดี่ยว,2,0,3191
152,นะ,F,1,เดี่ยว,1,0,3097
153,เล่น,C,1,เดี่ยว,1,0,3070
154,เรียน,C,1,เดี่ยว,1,0,3058
155,อย่างไร,C,2,ประสม,2,1,3036
156,ตอบ,C,1,เดี่ยว,1,0,3023
157,ชอบ,C,1,เดี่ยว,2,0,3008
158,อยาก,C,1,เดี่ยว,2,0,3002
159,นักเรียน,C,2,ประสาน,1,1,2983
160,ร้อง,C,1,เดี่ยว,1,0,2983
161,น่า,CF,1,เดี่ยว,1,0,2891
